CustomerID,FavoriteCategory,Gender,AgeGroup,Region,Recency,Frequency,Monetary
CUST00001,Electronics,Male,18-25,Surabaya,0,22,63882371
CUST00002,Beauty,Female,18-25,Medan,17,23,57227590
CUST00003,Home,Female,>50,Medan,21,28,76991379
CUST00004,Beauty,Female,18-25,Bandung,9,33,87579881
CUST00005,Electronics,Male,18-25,Yogyakarta,20,33,96718054
CUST00006,Sport,Male,36-50,Medan,40,24,66248621
CUST00007,Fashion,Male,26-35,Yogyakarta,11,25,59011079
CUST00008,Sport,Female,36-50,Jakarta,43,31,80814082
CUST00009,Fashion,Female,18-25,Denpasar,86,17,46563039
CUST00010,Beauty,Female,26-35,Yogyakarta,10,18,36904034
CUST00011,Beauty,Male,18-25,Surabaya,35,20,55098669
CUST00012,Electronics,Female,18-25,Denpasar,50,27,53278216
CUST00013,Electronics,Female,>50,Surabaya,16,24,55749058
CUST00014,Electronics,Male,18-25,Medan,12,21,46801553
CUST00015,Fashion,Male,26-35,Denpasar,54,24,43315001
CUST00016,Sport,Male,26-35,Yogyakarta,19,20,54804517
CUST00017,Beauty,Male,26-35,Denpasar,21,23,51139539
CUST00018,Home,Female,36-50,Medan,47,22,57838131
CUST00019,Fashion,Male,18-25,Bandung,21,22,59527809
CUST00020,Home,Male,26-35,Surabaya,35,32,72452465
CUST00021,Sport,Female,>50,Medan,47,26,61156550
CUST00022,Fashion,Male,26-35,Bandung,15,20,54314050
CUST00023,Electronics,Male,>50,Denpasar,4,19,45671821
CUST00024,Electronics,Male,18-25,Denpasar,8,18,43156297
CUST00025,Home,Female,26-35,Medan,48,26,64356872
CUST00026,Beauty,Female,18-25,Yogyakarta,16,29,66330411
CUST00027,Home,Male,36-50,Denpasar,2,33,84696656
CUST00028,Sport,Female,>50,Yogyakarta,11,25,65174955
CUST00029,Electronics,Female,18-25,Yogyakarta,15,24,72005316
CUST00030,Electronics,Male,26-35,Yogyakarta,46,22,51096349
CUST00031,Electronics,Female,18-25,Jakarta,43,28,69602257
