CustomerID,FavoriteCategory,Gender,AgeGroup,Region,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST00001,Electronics,Male,18-25,Surabaya,0,22,63882371,4,2,3,423,Potential Customer
CUST00002,Beauty,Female,18-25,Medan,17,23,57227590,3,2,2,322,Potential Customer
CUST00003,Home,Female,>50,Medan,21,28,76991379,2,3,4,234,Potential Customer
CUST00004,Beauty,Female,18-25,Bandung,9,33,87579881,3,4,4,344,Loyal Customer
CUST00005,Electronics,Male,18-25,Yogyakarta,20,33,96718054,2,4,4,244,Potential Customer
CUST00006,Sport,Male,36-50,Medan,40,24,66248621,2,2,3,223,Potential Customer
CUST00007,Fashion,Male,26-35,Yogyakarta,11,25,59011079,3,2,2,322,Potential Customer
CUST00008,Sport,Female,36-50,Jakarta,43,31,80814082,1,4,4,144,At Risk Customer
CUST00009,Fashion,Female,18-25,Denpasar,86,17,46563039,1,1,1,111,At Risk Customer
CUST00010,Beauty,Female,26-35,Yogyakarta,10,18,36904034,3,1,1,311,New Customer
CUST00011,Beauty,Male,18-25,Surabaya,35,20,55098669,2,1,2,212,New Customer
CUST00012,Electronics,Female,18-25,Denpasar,50,27,53278216,1,3,1,131,At Risk Customer
CUST00013,Electronics,Female,>50,Surabaya,16,24,55749058,3,2,2,322,Potential Customer
CUST00014,Electronics,Male,18-25,Medan,12,21,46801553,3,1,1,311,New Customer
CUST00015,Fashion,Male,26-35,Denpasar,54,24,43315001,1,2,1,121,At Risk Customer
CUST00016,Sport,Male,26-35,Yogyakarta,19,20,54804517,3,1,2,312,New Customer
CUST00017,Beauty,Male,26-35,Denpasar,21,23,51139539,2,2,1,221,Potential Customer
CUST00018,Home,Female,36-50,Medan,47,22,57838131,1,2,2,122,At Risk Customer
CUST00019,Fashion,Male,18-25,Bandung,21,22,59527809,2,2,2,222,Potential Customer
CUST00020,Home,Male,26-35,Surabaya,35,32,72452465,2,4,3,243,Potential Customer
CUST00021,Sport,Female,>50,Medan,47,26,61156550,1,3,2,132,At Risk Customer
CUST00022,Fashion,Male,26-35,Bandung,15,20,54314050,3,1,2,312,New Customer
CUST00023,Electronics,Male,>50,Denpasar,4,19,45671821,4,1,1,411,New Customer
CUST00024,Electronics,Male,18-25,Denpasar,8,18,43156297,4,1,1,411,New Customer
CUST00025,Home,Female,26-35,Medan,48,26,64356872,1,3,3,133,At Risk Customer
CUST00026,Beauty,Female,18-25,Yogyakarta,16,29,66330411,3,4,3,343,Loyal Customer
CUST00027,Home,Male,36-50,Denpasar,2,33,84696656,4,4,4,444,Loyal Customer
CUST00028,Sport,Female,>50,Yogyakarta,11,25,65174955,3,2,3,323,Potential Customer
CUST00029,Electronics,Female,18-25,Yogyakarta,15,24,72005316,3,2,3,323,Potential Customer
CUST00030,Electronics,Male,26-35,Yogyakarta,46,22,51096349,1,2,1,121,At Risk Customer
CUST00031,Electronics,Female,18-25,Jakarta,43,28,69602257,1,3,3,133,At Risk Customer
